command,purpose
secadm credentials update, credentials update no mandatory parameters
secadm credentials update -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -xx netsim -n somenodename,credentials update unknown replacement parameter --xx
secadm credentials update -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -xx netsim -n somenodename,credentials update unknown extra parameter --xx
secadm credentials update -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -rn netsim -n somenodename,credentials update duplicate parameter short version
secadm credentials update --rootusername netsim --rootuserpassword netsim --secureusername netsim --secureuserpassword netsim --normaluserpassword netsim --normalusername netsim --normalusername netsim --nodelist somenodename,credentials update duplicate parameter long version
secadm credentials update -rn -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -n somenodename,credentials update missing value for parameter --rn
secadm credentials update -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim,credentials update missing nodelist or nodefile parameter
secadm credentials update -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -n,credentials update missing value for --nodelist short version -n
secadm credentials update -rn netsim -rp -sn netsim -sp netsim -nn netsim -np netsim -n somenodename,credentials update missing value for password --rp
secadm credentials update -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -nf,credentials update missing value for --nodefile -nf
secadm credentials update -rn netsim -rp netsim netsim -sn netsim -sp netsim -nn netsim -np netsim somenodename, credentials update 2 values supplied for a password
"secadm credentials update -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -n NetworkElement=somenodename;somenodename;MeContext=somenodename",credentials update invalid node separators
"secadm credentials update -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -n NetworkElement=somenodename,somenodename1,MeContext=somenodename2,",credentials update extra comma at end
"secadm credentials update -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim -n NetworkElement=somenodename,somenodename1,,,,MeContext=somenodename2,",credentials update lots of commas between nodes
secadm credentials update -n NetworkElement=somenodename -rn netsim -rp netsim -sn netsim -sp netsim -nn netsim -np netsim,credentials update Order of parameters




