command,purpose
secadm credentials update, credentials update no mandatory parameters
secadm credentials update -sn netsim -xx netsim -n somenodename,credentials update unknown replacement parameter --xx
secadm credentials update -sn netsim -sp netsim -xx netsim -n somenodename,credentials update unknown extra parameter --xx
secadm credentials update -sn netsim -sp netsim -sn netsim -n somenodename,credentials update duplicate parameter short version
secadm credentials update --secureuserpassword netsim --secureusername netsim --secureusername netsim --nodelist somenodename,credentials update duplicate parameter long version
secadm credentials update -sn -sp netsim -n somenodename,credentials update missing value for parameter --sn
secadm credentials update -sn netsim -sp netsim,credentials update missing nodelist or nodefile parameter
secadm credentials update -sn netsim -sp netsim -n,credentials update missing value for --nodelist short version -n
secadm credentials update -rn netsim -sn netsim -sp -n somenodename,credentials update missing value for password --sp
secadm credentials update -sn netsim -sp netsim -nf,credentials update missing value for --nodefile -nf
secadm credentials update -sp netsim netsim -sn netsim -n somenodename, credentials update 2 values supplied for a password
"secadm credentials update -sn netsim -sp netsim -n NetworkElement=somenodename;somenodename;MeContext=somenodename",credentials update invalid node separators
"secadm credentials update -sn netsim -sp netsim -n NetworkElement=somenodename,somenodename1,MeContext=somenodename2,",credentials update extra comma at end
"secadm credentials update -sn netsim -sp netsim -n NetworkElement=somenodename,somenodename1,,,,MeContext=somenodename2,",credentials update  lots of commas between nodes
secadm credentials update -n NetworkElement=somenodename -sn netsim -sp netsim,credentials update Order of parameters
